P1;457957.313;3424391.430;49.828
P2;418745.508;3397136.767;50.084
P3;418745.508;3397136.767;50.084
P4;437643.377;3376957.696;51.376
P5;435569.091;3374777.539;51.420
P6;467796.457;3362484.538;52.687
P7;456880.203;3361578.152;52.472
P8;446540.636;3362650.699;52.187
P9;484610.072;3401303.561;51.433
P10;493242.334;3412209.048;51.169
P11;452852.719;3358801.974;52.495
P12;445994.874;3350905.710;52.669
P13;604873.025;3377723.665;55.263
P14;604683.535;3377863.792;55.252
P15;581026.106;3396482.229;53.902
P16;480919.449;3373265.481;52.537
P17;477238.705;3363111.207;52.880
P18;475425.332;3362392.561;52.868
P19;448574.527;3370352.953;51.908
P20;453171.934;3360957.780;52.412
P21;494076.488;3352144.534;53.735
P22;498153.252;3361136.982;53.451
P23;508403.546;3362700.727;53.624
P24;509964.012;3366557.812;53.498
P25;492166.471;3364976.160;53.149
P26;501944.568;3368786.922;53.216
P27;472716.956;3304675.199;55.225
P28;442399.438;3307248.427;54.415
P29;443445.592;3309447.039;54.347
P30;539022.127;3381076.357;53.565
P31;549827.159;3381525.010;53.800
P32;546269.162;3381930.000;53.699
P33;524756.918;3371521.708;53.635
P34;526081.929;3374263.055;53.550
P35;518682.953;3372794.827;53.438
P36;520270.385;3374435.916;53.406
P37;511806.024;3377044.075;53.098
P38;514603.821;3372397.554;53.360
P39;448149.786;3306716.981;54.570
P40;443982.445;3295441.805;54.943
P41;449992.012;3276434.451;55.871
P42;430928.757;3292326.096;54.770
P43;424041.883;3300372.090;54.277
P44;428838.663;3308436.429;54.051
P45;429950.217;3287378.077;54.953
P46;429524.435;3288713.522;54.888
P47;436195.453;3304961.376;54.366
P48;450819.051;3331102.563;53.613
P49;446766.612;3325520.032;53.752
P50;442179.898;3331492.367;53.396
P51;437923.610;3332788.798;53.243
P52;436312.937;3327955.447;53.409
P53;435548.848;3317645.637;53.822
P54;435454.914;3317191.493;53.839
P55;435594.145;3316703.576;53.863
P56;436415.097;3314691.087;53.966
P57;450954.457;3338881.332;53.289
P58;455517.719;3328769.496;53.819
P59;456472.534;3329111.328;53.827
P60;455802.359;3322479.430;54.089
P61;448622.768;3315054.724;54.233
P62;456973.439;3330344.460;53.787
P63;461380.195;3333408.808;53.761
P64;452662.816;3333293.859;53.563
P65;466492.887;3345363.951;53.378
P66;467866.584;3344202.146;53.458
P67;468116.156;3343125.440;53.509
P68;469203.089;3345491.237;53.435
P69;453374.082;3337447.847;53.406
P70;466413.985;3334613.812;53.827
P71;462936.906;3344606.122;53.327
P72;462892.294;3345107.953;53.305
P73;462275.942;3344370.483;53.321
P74;464752.780;3346212.239;53.302
P75;464581.383;3347799.591;53.231
P76;466885.981;3326032.643;54.198
P77;465046.333;3323357.226;54.267
P78;464473.524;3322184.879;54.303
P79;454454.076;3346960.624;53.031
P80;452246.531;3344531.995;53.082
P81;447914.491;3343859.167;53.010
P82;481630.683;3288525.087;56.105
P83;505952.371;3292043.738;56.526
P84;435851.646;3271338.550;55.754
P85;429676.987;3283268.431;55.117
P86;432657.811;3265984.319;55.901
P87;431547.909;3255150.196;56.322
P88;421662.444;3266582.025;55.623
P89;425276.472;3279741.583;55.162
P90;431387.210;3287273.744;54.991
P91;480857.562;3393754.605;51.666
P92;434119.293;3403208.303;50.180
P93;488593.265;3324631.214;54.762
P94;597737.195;3400808.364;54.113
P95;604928.845;3412908.435;53.769
P96;594235.302;3399547.875;54.084
P97;582990.641;3396043.648;53.967
P98;544827.147;3392827.878;53.203
P99;564849.119;3402257.483;53.274
P100;452201.000;3301725.559;54.872

