P1 ; 113937 ; 445789
P2 ; 73894 ; 419756
P3 ; 73894 ; 419756
P4 ; 92160 ; 399000
P5 ; 90019 ; 396885
P6 ; 121852 ; 383597
P7 ; 110912 ; 383030
P8 ; 100610 ; 384423
P9 ; 139866 ; 421880
P10 ; 148835 ; 432514
P11 ; 106800 ; 380380
P12 ; 99700 ; 372700
P13 ; 259348 ; 394552
P14 ; 259163 ; 394698
P15 ; 236100 ; 414050
P16 ; 135305 ; 393966
P17 ; 131310 ; 383930
P18 ; 129475 ; 383268
P19 ; 102882 ; 392059
P20 ; 107186 ; 382525
P21 ; 147800 ; 372444
P22 ; 152155 ; 381306
P23 ; 162450 ; 382550
P24 ; 164130 ; 386357
P25 ; 146290 ; 385330
P26 ; 156183 ; 388835
P27 ; 124973 ; 325660
P28 ; 94750 ; 329175
P29 ; 95864 ; 331340
P30 ; 193630 ; 399964
P31 ; 204445 ; 400075
P32 ; 200901 ; 400591
P33 ; 179072 ; 390858
P34 ; 180482 ; 393557
P35 ; 173040 ; 392320
P36 ; 174678 ; 393911
P37 ; 166298 ; 396782
P38 ; 168950 ; 392050
P39 ; 100481 ; 328465
P40 ; 95965 ; 317325
P41 ; 101380 ; 298140
P42 ; 82821 ; 314617
P43 ; 76188 ; 322873
P44 ; 81233 ; 330784
P45 ; 81689 ; 309702
P46 ; 81305 ; 311050
P47 ; 88478 ; 327082
P48 ; 103907 ; 352756
P49 ; 99683 ; 347302
P50 ; 95284 ; 353414
P51 ; 91070 ; 354842
P52 ; 89310 ; 350061
P53 ; 88226 ; 339780
P54 ; 88118 ; 339329
P55 ; 88242 ; 338837
P56 ; 89000 ; 336800
P57 ; 104284 ; 360527
P58 ; 108531 ; 350278
P59 ; 109496 ; 350590
P60 ; 108620 ; 343982
P61 ; 101213 ; 336784
P62 ; 110035 ; 351807
P63 ; 114535 ; 354733
P64 ; 105818 ; 354889
P65 ; 120017 ; 366524
P66 ; 121354 ; 365320
P67 ; 121570 ; 364236
P68 ; 122730 ; 366567
P69 ; 106658 ; 359019
P70 ; 119604 ; 355781
P71 ; 116439 ; 365877
P72 ; 116410 ; 366380
P73 ; 115771 ; 365662
P74 ; 118304 ; 367426
P75 ; 118182 ; 369018
P76 ; 119809 ; 347189
P77 ; 117887 ; 344572
P78 ; 117278 ; 343418
P79 ; 108033 ; 368494
P80 ; 105751 ; 366135
P81 ; 101400 ; 365597
P82 ; 133380 ; 309240
P83 ; 157800 ; 312000
P84 ; 87088 ; 293487
P85 ; 81288 ; 305603
P86 ; 83729 ; 288235
P87 ; 82282 ; 277441
P88 ; 72758 ; 289175
P89 ; 76780 ; 302215
P90 ; 83122 ; 309553
P91 ; 135880 ; 414450
P92 ; 89450 ; 425350
P93 ; 141463 ; 345113
P94 ; 252940 ; 417850
P95 ; 260509 ; 429719
P96 ; 249400 ; 416700
P97 ; 238050 ; 413550
P98 ; 199800 ; 411530
P99 ; 220110 ; 420330
P100 ; 104375 ; 323350
